,brand_name,brand_id,item_name,item_id,item_type,tag,calories,total_fat,saturated_fat,cholesterol,carbs,sugar,protein,sodium,dietary_fiber,servings_per_container,serving_size_qty,serving_size_unit,serving_weight_grams,last_updated
307,McDonald's,513fbc1283aa2dc80c000053,Sweet BBQ Bacon Artisan Grilled Chicken on Potato Roll,c6408349dda9d93770414e11,entree,none,600.0,22.0,7.0,135.0,52.0,13.0,46.0,1920,3.0,,,,,2017-09-06
308,McDonald's,513fbc1283aa2dc80c000053,"Diet Coke, Extra Small No Ice",c6408349de41624fc302809f,drink,soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,,,,,2017-09-06
309,McDonald's,513fbc1283aa2dc80c000053,Pico Guacamole Buttermilk Crispy Chicken on Sesame Seed Bun,c6408349dece321fe1cbac1f,entree,none,630.0,32.0,7.0,80.0,59.0,7.0,29.0,1340,5.0,,,,,2017-09-06
310,McDonald's,513fbc1283aa2dc80c000053,Carrot Muffin,c6408349e162612f955e8fee,dessert,none,430.0,16.0,1.5,0.0,66.0,26.0,6.0,360,2.0,,,,,2017-09-06
311,McDonald's,513fbc1283aa2dc80c000053,"Peppermint Mocha with Nonfat Milk, Medium",c6408349e28afb17f98411d7,drink,coffee,330.0,4.0,2.5,15.0,59.0,53.0,13.0,190,1.0,,,,,2017-09-06
312,McDonald's,513fbc1283aa2dc80c000053,"Minute Maid Orangeade Slushie, Medium",c6408349e658cb274844344d,drink,soda,230.0,0.0,0.0,0.0,60.0,59.0,0.0,30,0.0,,,,,2017-09-06
313,McDonald's,513fbc1283aa2dc80c000053,"Fanta Grape, Extra Small",c6408349e90607b396c846d2,drink,soda,130.0,0.0,0.0,0.0,33.0,33.0,0.0,40,0.0,,,,,2017-09-06
314,McDonald's,513fbc1283aa2dc80c000053,"Coca-Cola Zero, Small No Ice",c6408349eb3cc943339a342c,drink,soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,,,,,2017-09-06
315,McDonald's,513fbc1283aa2dc80c000053,"POWERADE Mountain Berry Blast, Extra Small No Ice",c6408349ef9f4e9f91a223c6,drink,none,90.0,0.0,0.0,0.0,22.0,22.0,0.0,110,0.0,,,,,2017-09-06
316,McDonald's,513fbc1283aa2dc80c000053,Sweet BBQ Bacon Burger on Artisan Roll,c6408349f12ffbc30788308c,entree,none,750.0,38.0,15.0,110.0,62.0,18.0,40.0,1400,4.0,,,,,2017-09-06
317,McDonald's,513fbc1283aa2dc80c000053,Pico Guacamole Burger on Potato Roll,c6408349f5ec33a3ff48bfcb,entree,none,580.0,33.0,12.0,95.0,42.0,6.0,30.0,990,3.0,,,,,2017-09-06
318,McDonald's,513fbc1283aa2dc80c000053,"Minute Maid Light Lemonade, Large",c6408349f8b0c61314934898,drink,juice,15.0,0.0,0.0,0.0,4.0,0.0,0.0,45,0.0,,,,,2017-09-06
319,McDonald's,513fbc1283aa2dc80c000053,Blueberry Muffin,c6408349fd55c0abb61fe946,dessert,none,430.0,16.0,1.5,0.0,65.0,34.0,7.0,320,2.0,,,,,2017-09-06
